class	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
c_Hydrothermia	1	0	10	22	0	0	1	0	1	0	0	0	0	0	0	d_Bacteria;p_WOR-3;c_Hydrothermia
c_UBA8468	5	3	6	0	3	0	1	0	5	3	0	0	1	1	2	d_Bacteria;p_Ratteibacteria;c_UBA8468
c_JACPTQ01	1	0	0	0	0	0	0	0	0	0	0	0	4	0	23	d_Bacteria;p_Myxococcota;c_JACPTQ01
c_UBA6099	0	0	2	8	0	13	2	0	2	0	0	0	0	0	0	d_Bacteria;p_UBP15;c_UBA6099
c_UBA10030	3	1	3	0	5	0	7	1	0	0	0	0	3	2	1	d_Bacteria;p_Bacteroidota;c_UBA10030
c_Mor1	4	2	1	0	0	0	2	0	3	13	0	0	0	0	0	d_Bacteria;p_Acidobacteriota;c_Mor1
c_UBA3072	0	0	5	0	1	13	5	0	0	0	0	0	0	1	0	d_Bacteria;p_WOR-3;c_UBA3072
c_Unclassified_p_Patescibacteria	5	0	0	0	0	0	0	0	12	0	0	0	0	0	7	d_Bacteria;p_Patescibacteria;c_Unclassified_p_Patescibacteria
c_Unclassified_p_Acidobacteriota	1	0	0	0	0	2	0	0	21	0	0	0	0	0	0	d_Bacteria;p_Acidobacteriota;c_Unclassified_p_Acidobacteriota
c_PGYV01	0	0	1	3	2	9	1	0	2	0	0	0	0	6	0	d_Bacteria;p_Goldbacteria;c_PGYV01
c_JACPQY01	0	0	0	1	0	2	0	0	0	0	0	0	0	20	0	d_Bacteria;p_JACPQY01;c_JACPQY01
c_GCA-003054495	1	0	7	6	0	1	0	0	5	0	0	0	0	2	0	d_Bacteria;p_Firmicutes B;c_GCA-003054495
c_Marinamargulisbacteria	0	0	0	0	1	1	2	0	2	0	0	0	0	15	0	d_Bacteria;p_Margulisbacteria;c_Marinamargulisbacteria
c_Proteinivoracia	0	0	2	0	0	9	1	0	8	0	0	0	0	1	0	d_Bacteria;p_Firmicutes D;c_Proteinivoracia
c_UBA5177	0	0	10	0	0	1	1	0	0	0	0	0	0	1	8	d_Bacteria;p_Chloroflexota;c_UBA5177
c_Dethiobacteria	3	1	1	0	1	0	3	0	0	2	0	0	0	9	0	d_Bacteria;p_Firmicutes D;c_Dethiobacteria
c_UBA2235	0	0	0	0	1	10	1	0	0	0	0	0	0	6	0	d_Bacteria;p_Chloroflexota;c_UBA2235
c_Thermosediminibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	d_Bacteria;p_Firmicutes A;c_Thermosediminibacteria
c_Deferribacteres	0	0	0	0	3	0	0	0	0	0	0	0	0	12	2	d_Bacteria;p_Deferribacterota;c_Deferribacteres
c_FAC87	0	0	12	2	0	0	0	0	3	0	0	0	0	0	0	d_Bacteria;p_Bdellovibrionota;c_FAC87
c_RBG-16-71-46	0	0	6	0	2	0	0	0	0	8	0	0	0	0	1	d_Bacteria;p_Eisenbacteria;c_RBG-16-71-46
c_4484-113	0	0	0	9	0	0	0	0	8	0	0	0	0	0	0	d_Bacteria;p_4484-113;c_4484-113
c_Calditrichia	0	0	3	0	1	4	0	0	0	0	0	0	0	9	0	d_Bacteria;p_Calditrichota;c_Calditrichia
c_Unclassified_p_Fibrobacterota	0	1	5	1	4	0	2	2	0	0	2	0	0	0	0	d_Bacteria;p_Fibrobacterota;c_Unclassified_p_Fibrobacterota
c_Aminicenantia	0	0	0	7	0	0	1	0	1	0	6	0	0	0	1	d_Bacteria;p_Acidobacteriota;c_Aminicenantia
c_UBA6911	0	0	1	3	1	7	1	0	1	0	0	0	0	2	0	d_Bacteria;p_Acidobacteriota;c_UBA6911
c_GWE2-31-10	0	3	1	0	5	0	5	0	0	0	1	0	0	1	0	d_Bacteria;p_Spirochaetota;c_GWE2-31-10
c_SURF-5	0	0	0	0	0	12	4	0	0	0	0	0	0	0	0	d_Bacteria;p_Abyssubacteria;c_SURF-5
c_UBA727	0	0	0	2	0	4	2	0	0	0	0	0	0	8	0	d_Bacteria;p_Myxococcota;c_UBA727
c_Peptococcia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	d_Bacteria;p_Firmicutes B;c_Peptococcia
c_Chrysiogenetes	0	0	0	0	0	0	1	0	0	0	0	0	0	0	14	d_Bacteria;p_Chrysiogenota;c_Chrysiogenetes
c_B64-G9	0	0	0	0	0	7	4	0	1	0	0	0	0	3	0	d_Bacteria;p_Myxococcota;c_B64-G9
c_DSM-4660	0	0	0	1	1	2	2	0	0	0	0	0	0	8	0	d_Bacteria;p_Desulfobacterota;c_DSM-4660
c_Syntrophia	0	0	1	0	0	0	1	0	0	0	0	0	0	5	7	d_Bacteria;p_Desulfobacterota;c_Syntrophia
c_MWCZ01	0	0	1	10	1	0	1	0	0	0	0	1	0	0	0	d_Bacteria;p_Latescibacterota;c_MWCZ01
c_UBA5377	6	1	1	0	0	0	2	0	2	1	0	0	0	0	0	d_Bacteria;p_Armatimonadota;c_UBA5377
c_Cloacimonadia	0	0	3	1	0	3	1	0	0	0	0	0	0	1	3	d_Bacteria;p_Cloacimonadota;c_Cloacimonadia
c_UBA4802	0	0	5	0	1	4	0	0	1	0	0	0	0	1	0	d_Bacteria;p_Spirochaetota;c_UBA4802
c_GBS-1	2	3	1	0	0	0	2	0	2	1	0	1	0	0	0	d_Bacteria;p_Synergistota;c_GBS-1
c_Chthonomonadetes	0	0	0	0	4	0	2	0	0	0	0	0	0	4	1	d_Bacteria;p_Armatimonadota;c_Chthonomonadetes
c_Brevinematia	0	0	3	1	2	0	1	0	0	0	0	0	0	4	0	d_Bacteria;p_Spirochaetota;c_Brevinematia
c_SZUA-365	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	d_Bacteria;p_Bacteroidota;c_SZUA-365
c_Abditibacteria	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Armatimonadota;c_Abditibacteria
c_WYAZ01	0	0	0	0	5	0	2	1	0	0	0	1	0	1	1	d_Bacteria;p_Myxococcota;c_WYAZ01
c_GWC2-55-46	0	0	3	0	0	0	0	0	1	0	0	1	0	6	0	d_Bacteria;p_Desulfobacterota;c_GWC2-55-46
c_JABDJQ01	1	0	1	0	0	0	1	0	0	8	0	0	0	0	0	d_Bacteria;p_JABDJQ01;c_JABDJQ01
c_Caldisericia	5	4	0	0	0	0	1	0	0	0	0	0	0	0	0	d_Bacteria;p_Caldisericota;c_Caldisericia
c_AABM5-125-24	0	0	0	0	8	0	0	0	0	1	0	0	0	1	0	d_Bacteria;p_AABM5-125-24;c_AABM5-125-24
c_UBA890	0	0	0	0	0	1	0	0	5	0	0	0	0	4	0	d_Bacteria;p_Acidobacteriota;c_UBA890
c_UBA3073	0	0	2	1	0	3	0	0	0	0	0	0	0	4	0	d_Bacteria;p_WOR-3;c_UBA3073
c_Ch29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	d_Bacteria;p_Firmicutes A;c_Ch29
c_UBA8248	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	d_Bacteria;p_UBA8248;c_UBA8248
c_O2-12-FULL-43-9	0	0	0	1	1	0	0	0	6	0	0	0	0	1	0	d_Bacteria;p_Bdellovibrionota E;c_O2-12-FULL-43-9
c_SpSt-956	0	0	0	0	4	1	3	0	0	0	1	0	0	0	0	d_Bacteria;p_Eremiobacterota;c_SpSt-956
c_Krumholzibacteria	0	0	2	0	0	0	0	0	0	0	0	0	0	7	0	d_Bacteria;p_Krumholzibacteriota;c_Krumholzibacteria
c_Syntrophobacteria	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	d_Bacteria;p_Desulfobacterota;c_Syntrophobacteria
c_UBA6624	0	0	0	5	1	0	1	0	0	0	0	0	0	1	0	d_Bacteria;p_UBP7;c_UBA6624
c_UBA1144	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Desulfobacterota D;c_UBA1144
c_JADFXK01	0	0	1	4	0	2	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Desulfobacterota;c_JADFXK01
c_JACRHL01	0	0	0	1	0	1	1	0	0	0	0	0	0	4	0	d_Bacteria;p_Nitrospirota;c_JACRHL01
c_UBA9980	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Wallbacteria;c_UBA9980
c_Unclassified_p_Desulfobacterota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	d_Bacteria;p_Desulfobacterota;c_Unclassified_p_Desulfobacterota
c_CPR3	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	d_Bacteria;p_Patescibacteria;c_CPR3
c_Geothermincolia	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	d_Bacteria;p_Actinobacteriota;c_Geothermincolia
c_TC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	d_Bacteria;p_Firmicutes B;c_TC1
c_DTU030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	d_Bacteria;p_DTU030;c_DTU030
c_2-12-FULL-45-22	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	d_Bacteria;p_Nitrospinota B;c_2-12-FULL-45-22
c_NPL-UPA2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	d_Bacteria;p_NPL-UPA2;c_NPL-UPA2
c_Sumerlaeia	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	d_Bacteria;p_Sumerlaeota;c_Sumerlaeia
c_Desulfobaccia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Desulfobacterota;c_Desulfobaccia
c_UBA2242	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	d_Bacteria;p_Marinisomatota;c_UBA2242
c_Aerophobia	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Aerophobota;c_Aerophobia
