order	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
o_Promineofilales	56.3461	202.6171	441.6136	891.4053	242.4105	201.6133	101.3787	0	63.3259	26.5036	2.6469	0	14.1553	144.4101	11.9598	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_Promineofilales
o_Ktedonobacterales	116.0877	0	722.1403	73.3441	624.5028	126.665	459.7093	0	1.4204	0	0	3.6147	0	213.5997	53.3701	d_Bacteria;p_Chloroflexota;c_Ktedonobacteria;o_Ktedonobacterales
o_Azospirillales	55.5632	106.6746	218.7495	306.476	191.1482	396.0589	276.7334	6.8353	223.8444	332.821	3.6624	51.0634	23.3765	189.2562	3.1799	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Azospirillales
o_Deinococcales	1080.3076	9.2866	211.4896	185.4545	234.8954	0	0	80.846	147.2028	143.2125	1	36.4974	44.0417	143.4256	49.4976	d_Bacteria;p_Deinococcota;c_Deinococci;o_Deinococcales
o_PHBI01	38.4375	61.0026	315.0498	320.6033	158.0892	412.1945	163.7466	0	118.3885	19.9902	3.7249	0	0	720.8606	0.0635	d_Bacteria;p_Myxococcota;c_UBA9042;o_PHBI01
o_Unclassified_c_Campylobacteria	60.3461	0	29.6371	1.9911	1547.8549	7.0251	61.9225	30.4241	5.3259	1.0823	2.8087	40.1658	0	523.0431	9.7517	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Unclassified_c_Campylobacteria
o_SCGC-AAA003-L08	50.6768	265.4298	513.5344	517.2442	323.51	37.1517	459.5139	14.6619	0	65.0558	0	14.9359	0	37.3746	0	d_Bacteria;p_Marinisomatota;c_Marinisomatia;o_SCGC-AAA003-L08
o_Chloroflexales	160.676	405.3924	163.7968	200.4904	134.8059	615.7284	256.4823	6.4889	22.8263	68.6975	0	3.9838	16.0965	186.6103	44.8767	d_Bacteria;p_Chloroflexota;c_Chloroflexia;o_Chloroflexales
o_Elusimicrobiales	0	0	373.5836	532.4268	64.7824	364.0514	320.8082	0	152.6663	0	0	0	0	477.0503	0	d_Bacteria;p_Elusimicrobiota;c_Elusimicrobia;o_Elusimicrobiales
o_UBA9042	57.4842	496.984	291.6879	258.4548	283.615	275.2696	168.6744	24.8985	46.6328	42.1684	0	0	0	264.1067	0.8625	d_Bacteria;p_Myxococcota;c_UBA9042;o_UBA9042
o_Pelagibacterales	0	0	307.3814	162.2727	301.7005	390.9527	466.7883	2.3919	56.7388	0	1.7985	5.0116	17.7595	384.8408	1.0601	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Pelagibacterales
o_Nitrospinales	9.5807	0	468.3093	382.6625	101.2771	224.575	193.9633	22.4208	245.679	41.2249	0	0	0	329.7476	0.4799	d_Bacteria;p_Nitrospinota;c_Nitrospinia;o_Nitrospinales
o_RF32	61.9959	176.173	338.7822	205.5534	48.9633	313.3555	94.278	0	326.8272	33.8925	17.1303	7.3513	0	339.3339	0.2367	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_RF32
o_Humimicrobiales	26.6844	126.8145	285.4362	145.2513	21.2886	317.5379	344.5617	94.9058	228.6961	29.3079	0	0	24.6459	213.5856	0.2902	d_Bacteria;p_Actinobacteriota;c_Humimicrobiia;o_Humimicrobiales
o_Nitrosococcales	10.5346	0	259.519	266.9648	10.399	569.3131	108.6253	6.7631	204.3303	0	0	24.1801	62.9631	257.778	35.0076	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Nitrosococcales
o_Unclassified_p_Nitrospinota	0	0	401.5886	313.4814	25.643	486.35	207.9368	0	100.6236	0	0	0	0	250.3675	0	d_Bacteria;p_Nitrospinota;c_Unclassified_p_Nitrospinota;o_Unclassified_p_Nitrospinota
