order	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
o_Streptosporangiales	74	31	13	22	22	25	22	7	30	22	2	37	11	22	863	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptosporangiales
o_Gaiellales	7	0	0	0	0	1	0	8	0	0	0	42	2	6	1121	d_Bacteria;p_Actinobacteriota;c_Thermoleophilia;o_Gaiellales
o_Myxococcales	11	25	105	77	37	64	38	3	63	56	45	575	0	61	10	d_Bacteria;p_Myxococcota;c_Myxococcia;o_Myxococcales
o_Bacillales D	4	0	33	33	11	24	15	2	5	15	35	11	4	35	812	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales D
o_Methylococcales	5	4	105	165	34	127	74	4	109	2	6	76	4	77	238	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Methylococcales
o_Unclassified_p_Myxococcota	20	20	183	152	41	202	108	2	98	27	1	1	3	152	2	d_Bacteria;p_Myxococcota;c_Unclassified_p_Myxococcota;o_Unclassified_p_Myxococcota
o_Acidimicrobiales	24	13	46	25	19	45	28	5	73	24	0	31	1	40	593	d_Bacteria;p_Actinobacteriota;c_Acidimicrobiia;o_Acidimicrobiales
o_Saccharimonadales	436	6	8	15	2	3	22	72	87	29	24	1	3	14	181	d_Bacteria;p_Patescibacteria;c_Saccharimonadia;o_Saccharimonadales
o_UBA796	23	16	141	168	40	191	73	1	64	19	6	0	1	152	1	d_Bacteria;p_Myxococcota A;c_UBA796;o_UBA796
o_Staphylococcales	27	13	31	16	13	42	11	0	44	12	10	1	16	24	581	d_Bacteria;p_Firmicutes;c_Bacilli;o_Staphylococcales
o_Fibrobacterales	5	0	168	140	35	147	74	0	101	0	3	0	0	134	1	d_Bacteria;p_Fibrobacterota;c_Fibrobacteria;o_Fibrobacterales
o_Bacillales H	0	1	49	14	13	35	34	9	13	39	280	182	31	32	70	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales H
o_CR04bin15	0	0	0	0	0	0	0	2	0	0	703	26	63	0	3	d_Bacteria;p_KSB1;c_UBA2214;o_CR04bin15
o_Bacteriovoracales	18	36	142	124	51	125	64	2	69	20	0	1	3	131	0	d_Bacteria;p_Bdellovibrionota;c_Bacteriovoracia;o_Bacteriovoracales
o_Bacillales	14	3	3	0	13	1	7	49	38	6	42	2	5	1	511	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales
o_Unclassified_p_Bacteroidota	2	2	26	17	8	22	16	2	13	0	0	419	0	35	118	d_Bacteria;p_Bacteroidota;c_Unclassified_p_Bacteroidota;o_Unclassified_p_Bacteroidota
o_Opitutales	11	34	59	56	45	46	26	57	50	19	8	142	7	44	72	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Opitutales
o_Exiguobacterales	0	0	0	0	1	0	0	8	0	0	610	5	2	0	43	d_Bacteria;p_Firmicutes;c_Bacilli;o_Exiguobacterales
o_D8A-2	0	0	0	0	0	0	0	1	0	0	0	0	3	0	654	d_Bacteria;p_Firmicutes E;c_DTU015;o_D8A-2
o_Polyangiales	22	8	97	88	32	101	76	0	48	29	1	0	2	93	34	d_Bacteria;p_Myxococcota;c_Polyangia;o_Polyangiales
o_JACIZP01	2	0	135	114	31	114	90	0	50	0	0	0	0	77	0	d_Bacteria;p_KSB1;c_UBA2214;o_JACIZP01
o_Ktedonobacterales	13	0	42	12	32	15	16	0	1	0	0	9	0	22	446	d_Bacteria;p_Chloroflexota;c_Ktedonobacteria;o_Ktedonobacterales
o_Deinococcales	147	1	9	4	11	0	0	20	10	9	1	54	5	6	249	d_Bacteria;p_Deinococcota;c_Deinococci;o_Deinococcales
