family	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
f_Myxococcaceae	98.806	605.4376	1473.0944	805.8838	455.1166	1094.6346	670.5253	18.8923	540.4938	380.5082	13.9468	82.0262	0	712.3157	3.1257	d_Bacteria;p_Myxococcota;c_Myxococcia;o_Myxococcales;f_Myxococcaceae
f_Unclassified_o_Cyanobacteriales	8.9402	86.9754	978.6868	1049.0377	298.2166	1871.97	994.1344	8.4613	329.283	0	1.9546	2.2745	0	1081.3735	3.3619	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Cyanobacteriales;f_Unclassified_o_Cyanobacteriales
f_Micromonosporaceae	867.3025	729.5616	854.9286	589.45	387.2997	527.8269	761.2322	50.1492	380.8577	501.4495	2.6339	52.703	20.5689	679.7763	300.5779	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Micromonosporaceae
f_Shewanellaceae	16.6867	190.0378	990.8101	1101.4687	281.7041	1388.7123	677.4981	19.8844	342.9998	0	248.5447	6.0375	10.2952	1041.1167	0.4044	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Shewanellaceae
f_Peptoniphilaceae	386.922	341.6426	34.9842	142.6881	55.1088	40.995	263.3296	882.4497	19.926	213.8071	990.9278	282.7817	2152.4241	30.3223	424.4859	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Tissierellales;f_Peptoniphilaceae
f_Enterococcaceae	33.7774	0	662.2046	54.3574	48.8443	108.0265	51.7371	94.8168	291.7933	187.9021	479.9979	178.997	2983.9578	54.4642	624.4964	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Enterococcaceae
f_Hyphomonadaceae	78.0855	30.1403	786.2681	539.9276	532.3964	1209.1066	365.9468	0	1244.0008	0	1.7768	116.4143	0	823.2546	0.6291	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Hyphomonadaceae
f_Unclassified_o_Rhizobiales	233.1981	156.4896	190.7879	176.4244	96.2722	27.6478	207.4624	107.2026	182.062	54.3678	45.2646	1172.7832	57.9754	429.6167	2458.8826	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Unclassified_o_Rhizobiales
f_Halomonadaceae	75.8381	112.0411	994.8826	1164.2857	346.3875	1159.1817	364.6429	3.7809	228.4356	67.4457	1.3631	103.5201	34.3392	561.7244	146.2179	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Halomonadaceae
f_Cycloclasticaceae	18.3402	0	803.09	1483.8633	194.5227	1115.2521	526.8889	11.1669	486.8222	0	4.1251	0	64.6955	624.7052	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Methylococcales;f_Cycloclasticaceae
