#ID	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.Paraclostridium.unclassified_Paraclostridium	0	115	3373	5	5	11701	24	601	51	1533
Bacteria.Firmicutes.Bacilli.Lactobacillales.unclassified_Lactobacillales.unclassified_Lactobacillales.unclassified_Lactobacillales	8	44	1007	110	1083	337	2598	898	44	11149
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Escherichia_sp005843885	0	0	40	10	7	15756	312	887	0	64
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Escherichia_fergusonii	0	0	52	25	10	15492	391	908	0	108
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Puniceibacterium.Puniceibacterium_profundi	3178	1342	5	2696	1	27	15	17	2542	34
Bacteria.Firmicutes_A.Clostridia.Clostridiales.Clostridiaceae.Clostridium.Clostridium_baratii	0	2	12047	3	0	591	30	1459	62	2104
Bacteria.Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.unclassified_Sphingomonadaceae.unclassified_Sphingomonadaceae	33	16	67	24	0	22	14330	19	28	986
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Actinomycetaceae.Boudabousia.unclassified_Boudabousia	7	20	24	101	322	83	769	593	8	13771
Bacteria.Bacteroidota.Bacteroidia.Chitinophagales.Chitinophagaceae.Chitinophaga.Chitinophaga_agrisoli	704	1641	153	1328	1705	92	135	76	866	152
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Escherichia_sp002965065	0	0	33	8	7	13807	374	818	0	47
Bacteria.Firmicutes_A.Clostridia.Clostridiales.Clostridiaceae.Clostridium.Clostridium_sp000498355	0	27	3465	2	2	8691	86	446	5	2182
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Microbacteriaceae.Leucobacter.Leucobacter_aridicollis	0	0	0	0	9	1	78	10	0	14677
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Actinomycetaceae.Boudabousia.Boudabousia_sp019218365	4	16	21	212	285	64	618	808	5	12287
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.unclassified_Micrococcaceae.unclassified_Micrococcaceae	5	25	165	519	1771	106	1335	237	10	7965
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales_A.Rhizobiaceae_A.Ochrobactrum_A.Ochrobactrum_A_pseudogrignonensis	0	0	0	0	5	4	75	6	0	13993
Bacteria.Actinobacteriota.Actinomycetia.Propionibacteriales.Propionibacteriaceae.Arachnia.Arachnia_rhinocerotis	0	0	7	2	7	6	266	49	0	13373
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.unclassified_Fusobacteriaceae.unclassified_Fusobacteriaceae	2	21	7769	0	0	3746	347	1240	302	121
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Melaminivora_A.Melaminivora_A_sp003008575	0	0	2	1	5	1	13555	11	0	174
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Pulveribacter.Pulveribacter_suum	0	0	3	5	6	4	13552	21	0	133
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.Romboutsia.Romboutsia_ilealis	0	12	52	0	18	441	1	163	3	12969
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Paracoccus.Paracoccus_sanguinis	0	1	16	0	15	5	12356	42	1	725
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Alcanivoracaceae.Alcanivorax.Alcanivorax_profundi	2483	1315	1	1659	0	15	27	27	1851	24
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Dermabacteraceae.TAE3_ERU5.TAE3_ERU5_sp019218375	12	119	51	1459	723	77	500	1107	19	5019
