#ID	domain	phylum	class	order	family	genus	species
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Dermabacteraceae.TAE3_ERU5.unclassified_TAE3_ERU5	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermabacteraceae	g__TAE3_ERU5	s__unclassified_TAE3_ERU5
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_accolens	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium_accolens
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.unclassified_Xanthomonadaceae.unclassified_Xanthomonadaceae	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__unclassified_Xanthomonadaceae	s__unclassified_Xanthomonadaceae
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.Romboutsia.unclassified_Romboutsia	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Romboutsia	s__unclassified_Romboutsia
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter_G.Helicobacter_G_sp001693335	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_G	s__Helicobacter_G_sp001693335
Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.Weeksellaceae.Kaistella.unclassified_Kaistella	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Kaistella	s__unclassified_Kaistella
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Gallilactobacillus.Gallilactobacillus_intestinavium	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Gallilactobacillus	s__Gallilactobacillus_intestinavium
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Kocuria.unclassified_Kocuria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Kocuria	s__unclassified_Kocuria
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.Romboutsia.Romboutsia_timonensis	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Romboutsia	s__Romboutsia_timonensis
Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Jeotgalibaca.unclassified_Jeotgalibaca	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Jeotgalibaca	s__unclassified_Jeotgalibaca
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_vitaeruminis_A	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium_vitaeruminis_A
Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.Weeksellaceae.unclassified_Weeksellaceae.unclassified_Weeksellaceae	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__unclassified_Weeksellaceae	s__unclassified_Weeksellaceae
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Actinomycetaceae.Flaviflexus.unclassified_Flaviflexus	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Flaviflexus	s__unclassified_Flaviflexus
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Microbacteriaceae.Leucobacter.Leucobacter_komagatae	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter_komagatae
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Giesbergeria.Giesbergeria_sp012932145	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Giesbergeria	s__Giesbergeria_sp012932145
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.unclassified_Rhizobiales.unclassified_Rhizobiales.unclassified_Rhizobiales	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__unclassified_Rhizobiales	g__unclassified_Rhizobiales	s__unclassified_Rhizobiales
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Actinomycetaceae.Mobiluncus.unclassified_Mobiluncus	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Mobiluncus	s__unclassified_Mobiluncus
